               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                   O*                   CO                  CO2
                 669               732743         4.0080000000000000E+04         1.9000000000000000E+02        -2.2388966500005458E+03                1455                   74                -1957                  502
                 670               733916         4.0140000000000000E+04         1.9000000000000000E+02        -2.2388142500005574E+03                1455                   74                -1957                  502
                 671               735097         4.0200000000000000E+04         1.9000000000000000E+02        -2.2379341000005406E+03                1454                   73                -1957                  503
                 672               736299         4.0260000000000000E+04         1.9000000000000000E+02        -2.2380307500005497E+03                1454                   73                -1957                  503
                 673               737393         4.0320000000000000E+04         1.9000000000000000E+02        -2.2379196500005455E+03                1454                   73                -1957                  503
                 674               738618         4.0380000000000000E+04         1.9000000000000000E+02        -2.2379714500005471E+03                1454                   73                -1957                  503
                 675               739838         4.0440000000000000E+04         1.9000000000000000E+02        -2.2380518000005486E+03                1454                   73                -1957                  503
                 676               741045         4.0500000000000000E+04         1.9000000000000000E+02        -2.2379052500005528E+03                1454                   73                -1957                  503
                 677               742162         4.0560000000000000E+04         1.9000000000000000E+02        -2.2379140000005455E+03                1454                   73                -1957                  503
                 678               743283         4.0620000000000000E+04         1.9000000000000000E+02        -2.2379641000005472E+03                1454                   73                -1957                  503
                 679               744437         4.0680000000000000E+04         1.9000000000000000E+02        -2.2375922500005527E+03                1454                   72                -1958                  504
                 680               745630         4.0740000000000000E+04         1.9000000000000000E+02        -2.2375714500005479E+03                1454                   72                -1958                  504
                 681               746823         4.0800000000000000E+04         1.9000000000000000E+02        -2.2376046000005467E+03                1454                   72                -1958                  504
                 682               748028         4.0860000000000000E+04         1.9000000000000000E+02        -2.2385391000005538E+03                1455                   72                -1959                  504
                 683               749214         4.0920000000000000E+04         1.9000000000000000E+02        -2.2383681000005536E+03                1455                   72                -1959                  504
                 684               750349         4.0980000000000000E+04         1.9000000000000000E+02        -2.2385443500005563E+03                1455                   72                -1959                  504
                 685               751512         4.1040000000000000E+04         1.9000000000000000E+02        -2.2377672000005518E+03                1454                   72                -1958                  504
                 686               752675         4.1100000000000000E+04         1.9000000000000000E+02        -2.2378347500005516E+03                1454                   72                -1958                  504
                 687               753859         4.1160000000000000E+04         1.9000000000000000E+02        -2.2362265500005437E+03                1453                   71                -1958                  505
                 688               755023         4.1220000000000000E+04         1.9000000000000000E+02        -2.2380852000005520E+03                1455                   71                -1960                  505
                 689               756263         4.1280000000000000E+04         1.9000000000000000E+02        -2.2382276500005464E+03                1455                   71                -1960                  505
                 690               757402         4.1340000000000000E+04         1.9000000000000000E+02        -2.2384206500005484E+03                1455                   71                -1960                  505
                 691               758591         4.1400000000000000E+04         1.9000000000000000E+02        -2.2383044500005462E+03                1455                   71                -1960                  505
                 692               759764         4.1460000000000000E+04         1.9000000000000000E+02        -2.2384339000005434E+03                1455                   71                -1960                  505
                 693               760941         4.1520000000000000E+04         1.9000000000000000E+02        -2.2374144000005376E+03                1454                   71                -1959                  505
                 694               762166         4.1580000000000000E+04         1.9000000000000000E+02        -2.2383756500005397E+03                1455                   71                -1960                  505
                 695               763371         4.1640000000000000E+04         1.9000000000000000E+02        -2.2369604000005370E+03                1454                   70                -1960                  506
                 696               764586         4.1700000000000000E+04         1.9000000000000000E+02        -2.2370093500005341E+03                1454                   70                -1960                  506
                 697               765858         4.1760000000000000E+04         1.9000000000000000E+02        -2.2395470000005416E+03                1457                   69                -1964                  507
                 698               766982         4.1820000000000000E+04         1.9000000000000000E+02        -2.2396840500005405E+03                1457                   69                -1964                  507
                 699               768164         4.1880000000000000E+04         1.9000000000000000E+02        -2.2397825000005450E+03                1457                   69                -1964                  507
                 700               769409         4.1940000000000000E+04         1.9000000000000000E+02        -2.2396362000005515E+03                1457                   69                -1964                  507
                 701               770638         4.2000000000000000E+04         1.9000000000000000E+02        -2.2392932000005444E+03                1457                   68                -1965                  508
                 702               771806         4.2060000000000000E+04         1.9000000000000000E+02        -2.2400506500005504E+03                1458                   68                -1966                  508
                 703               773004         4.2120000000000000E+04         1.9000000000000000E+02        -2.2410781500005473E+03                1459                   68                -1967                  508
                 704               774171         4.2180000000000000E+04         1.9000000000000000E+02        -2.2409755000005503E+03                1459                   68                -1967                  508
                 705               775276         4.2240000000000000E+04         1.9000000000000000E+02        -2.2410158500005596E+03                1459                   68                -1967                  508
                 706               776431         4.2300000000000000E+04         1.9000000000000000E+02        -2.2410982000005542E+03                1459                   68                -1967                  508
                 707               777616         4.2360000000000000E+04         1.9000000000000000E+02        -2.2409681500005604E+03                1459                   68                -1967                  508
                 708               778835         4.2420000000000000E+04         1.9000000000000000E+02        -2.2410804500005647E+03                1459                   68                -1967                  508
                 709               780094         4.2480000000000000E+04         1.9000000000000000E+02        -2.2412574500005753E+03                1459                   68                -1967                  508
                 710               781275         4.2540000000000000E+04         1.9000000000000000E+02        -2.2414050500005737E+03                1459                   68                -1967                  508
                 711               782442         4.2600000000000000E+04         1.9000000000000000E+02        -2.2413491000005638E+03                1459                   68                -1967                  508
                 712               783610         4.2660000000000000E+04         1.9000000000000000E+02        -2.2409292000005680E+03                1458                   68                -1966                  508
                 713               784832         4.2720000000000000E+04         1.9000000000000000E+02        -2.2406726000005560E+03                1458                   68                -1966                  508
                 714               785966         4.2780000000000000E+04         1.9000000000000000E+02        -2.2415453000005668E+03                1459                   68                -1967                  508
